Fato;Categoria
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação ou uso de moeda falsa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação ou uso de moeda falsa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação ou uso de moeda falsa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação ou uso de moeda falsa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação ou uso de moeda falsa;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas a falsificação de documentos ou registros públicos ;Atos infracionais contra o Interesse e a Administração Pública em Geral
Condutas assemelhadas contra a segurança e utilidade pública;Atos infracionais contra o Interesse e a Administração Pública em Geral
Art 206 e 207 do CP;Atos infracionais contra a Organização do Trabalho
Art 197 a 199 do CP;Atos infracionais contra a Organização do Trabalho
Art 197 a 199 do CP;Atos infracionais contra a Organização do Trabalho
Art 201, 204 e 205 do CP;Atos infracionais contra a Organização do Trabalho
Art 203 do CP;Atos infracionais contra a Organização do Trabalho
Art 201, 204 e 205 do CP;Atos infracionais contra a Organização do Trabalho
Art 201, 204 e 205 do CP;Atos infracionais contra a Organização do Trabalho
Art 202 do CP;Atos infracionais contra a Organização do Trabalho
Art 202 do CP;Atos infracionais contra a Organização do Trabalho
Art 149 do CP;Atos infracionais contra a Organização do Trabalho
Aliciamento de trabalhadores;Atos infracionais contra a Organização do Trabalho
Atentado contra a liberdade de contrato de trabalho;Atos infracionais contra a Organização do Trabalho
Atentado contra a liberdade de trabalho;Atos infracionais contra a Organização do Trabalho
Exercício de atividade com infração de decisão administrativa;Atos infracionais contra a Organização do Trabalho
Frustração de direito assegurado por lei trabalhista;Atos infracionais contra a Organização do Trabalho
Frustração de lei sobre a nacionalização do trabalho;Atos infracionais contra a Organização do Trabalho
Paralisação de trabalho de interesse coletivo;Atos infracionais contra a Organização do Trabalho
Paralisação do trabalho com violência ou perturbação;Atos infracionais contra a Organização do Trabalho
Sabotagem;Atos infracionais contra a Organização do Trabalho
Redução a condição análoga à de escravo;Atos infracionais contra a Organização do Trabalho
Aliciamento de trabalhadores;Atos infracionais contra a Organização do Trabalho
Atentado contra a liberdade de trabalho, contrato ou associação;Atos infracionais contra a Organização do Trabalho
Atentado contra a liberdade de trabalho, contrato ou associação;Atos infracionais contra a Organização do Trabalho
Outros atos infracionais relacionados à Organização do Trabalho;Atos infracionais contra a Organização do Trabalho
Frustração de direito assegurado por lei trabalhista;Atos infracionais contra a Organização do Trabalho
Outros atos infracionais relacionados à Organização do Trabalho;Atos infracionais contra a Organização do Trabalho
Outros atos infracionais relacionados à Organização do Trabalho;Atos infracionais contra a Organização do Trabalho
Paralisação do trabalho com violência ou perturbação;Atos infracionais contra a Organização do Trabalho
Invasão de estabelecimento e sabotagem;Atos infracionais contra a Organização do Trabalho
Redução a condição análoga à de escravo;Atos infracionais contra a Organização do Trabalho
Acidente de trabalho com dano;Atos infracionais contra a Organização do Trabalho
Acidente de trabalho com dano;Atos infracionais contra a Organização do Trabalho
Lei 7.853/1989;Atos infracionais contra a pessoa portadora de deficiência
Lei 7.853/1989;Atos infracionais contra a pessoa portadora de deficiência
Lei 7.853/1989;Atos infracionais contra a pessoa portadora de deficiência
Deixar de cumprir, retardar sem justo motivo a execução de ordem judicial contra vítima deficiente;Atos infracionais contra a pessoa portadora de deficiência
Recusar, dificultar internação ou não prestar assistência à pessoa portadora de deficiência;Atos infracionais contra a pessoa portadora de deficiência
Recusar, sem justa causa inscrição em estabelecimento de ensino motivada por deficiência;Atos infracionais contra a pessoa portadora de deficiência
Deixar de cumprir, retardar sem justo motivo a execução de ordem judicial contra vítima deficiente;Atos infracionais contra a pessoa portadora de deficiência
Recusar, dificultar internação ou não prestar assistência à pessoa portadora de deficiência;Atos infracionais contra a pessoa portadora de deficiência
Recusar, sem justa causa inscrição em estabelecimento de ensino motivada por deficiência;Atos infracionais contra a pessoa portadora de deficiência
Contravenções penais - Outras;Atos infracionais que caracterizam Contravenção Penal
Loteria não autorizada;Atos infracionais que caracterizam Contravenção Penal
Omissão de cautela na guarda ou condução de animais;Atos infracionais que caracterizam Contravenção Penal
Conduzir animal, na via pública, pondo em perigo a segurança alheia;Atos infracionais que caracterizam Contravenção Penal
Perturbação da tranquilidade;Atos infracionais que caracterizam Contravenção Penal
Perturbação do trabalho ou sossego alheio;Atos infracionais que caracterizam Contravenção Penal
Perturbação do trabalho ou sossego alheios;Atos infracionais que caracterizam Contravenção Penal
Recusa de dados sobre a própria identidade;Atos infracionais que caracterizam Contravenção Penal
Recusar à autoridade dados ou indicações concernentes à própria identidade, estado, profissão, domicílio e residência;Atos infracionais que caracterizam Contravenção Penal
Embriaguez (Contravenção Penal);Atos infracionais que caracterizam Contravenção Penal
Exercício ilegal de profissão;Atos infracionais que caracterizam Contravenção Penal
Exercício ilegal de profissão ou atividade;Atos infracionais que caracterizam Contravenção Penal
Importunar alguém, em lugar público, de modo ofensivo ao pudor;Atos infracionais que caracterizam Contravenção Penal
Jogo do bicho;Atos infracionais que caracterizam Contravenção Penal
Jogos de azar;Atos infracionais que caracterizam Contravenção Penal
Retenção ilegal de documentos de identificação;Atos infracionais que caracterizam Contravenção Penal
Porte de arma branca;Atos infracionais que caracterizam Contravenção Penal
Porte/posse de Arma Branca ou Simulacro;Atos infracionais que caracterizam Contravenção Penal
Porte ou posse de arma branca;Atos infracionais que caracterizam Contravenção Penal
Contravenções penais - Outras;Atos infracionais que caracterizam Contravenção Penal
Loteria não autorizada;Atos infracionais que caracterizam Contravenção Penal
Omissão de cautela na guarda ou condução de animais;Atos infracionais que caracterizam Contravenção Penal
Omissão de cautela na guarda ou condução de animais;Atos infracionais que caracterizam Contravenção Penal
Perturbação da tranquilidade;Atos infracionais que caracterizam Contravenção Penal
Perturbação do trabalho ou sossego alheio;Atos infracionais que caracterizam Contravenção Penal
Perturbação do trabalho ou sossego alheio;Atos infracionais que caracterizam Contravenção Penal
Recusa de dados sobre a própria identidade;Atos infracionais que caracterizam Contravenção Penal
Recusa de dados sobre a própria identidade;Atos infracionais que caracterizam Contravenção Penal
Embriaguez (Contravenção Penal);Atos infracionais que caracterizam Contravenção Penal
Exercício ilegal de profissão ou atividade;Atos infracionais que caracterizam Contravenção Penal
Exercício ilegal de profissão ou atividade;Atos infracionais que caracterizam Contravenção Penal
Importunar alguém, em lugar público, de modo ofensivo ao pudor;Atos infracionais que caracterizam Contravenção Penal
Jogo do bicho;Atos infracionais que caracterizam Contravenção Penal
Jogos de azar;Atos infracionais que caracterizam Contravenção Penal
Retenção ilegal de documentos de identificação;Atos infracionais que caracterizam Contravenção Penal
Porte ou posse de arma branca ou simulacro;Atos infracionais que caracterizam Contravenção Penal
Porte ou posse de arma branca ou simulacro;Atos infracionais que caracterizam Contravenção Penal
Porte ou posse de arma branca ou simulacro;Atos infracionais que caracterizam Contravenção Penal
L5553/1968;Atos infracionais que caracterizam Contravenção Penal
L5553/1968;Atos infracionais que caracterizam Contravenção Penal
L5553/1968;Atos infracionais que caracterizam Contravenção Penal
L5553/1968;Atos infracionais que caracterizam Contravenção Penal
L5553/1968;Atos infracionais que caracterizam Contravenção Penal
L5553/1968;Atos infracionais que caracterizam Contravenção Penal
Abandono de lar;Fato atípico - Condutas meramente informativas
Afogamento;Fato atípico - Condutas meramente informativas
Desaparecimento de pessoa;Fato atípico - Condutas meramente informativas
Comunicação de pessoa desaparecida;Fato atípico - Condutas meramente informativas
Busca de pessoa desaparecida;Fato atípico - Condutas meramente informativas
Desaparecimento de criança;Fato atípico - Condutas meramente informativas
Comunicação de reaparecimento ou de retorno de pessoa;Fato atípico - Condutas meramente informativas
Reaparecimento de pessoa;Fato atípico - Condutas meramente informativas
Encontro de pessoa desaparecida;Fato atípico - Condutas meramente informativas
Fuga do lar;Fato atípico - Condutas meramente informativas
Fuga de pessoa;Fato atípico - Condutas meramente informativas
Morte acidental;Fato atípico - Condutas meramente informativas
Morte aparentemente natural;Fato atípico - Condutas meramente informativas
Perda de documentos/objetos;Fato atípico - Condutas meramente informativas
Recuperação de veículo;Fato atípico - Condutas meramente informativas
Recuperação/Apresentação de documentos/objetos;Fato atípico - Condutas meramente informativas
Encontro/Recuperação de Objeto Furtado/Roubado;Fato atípico - Condutas meramente informativas
Encontro/Recuperação de objetos;Fato atípico - Condutas meramente informativas
Documentos/Objetos perdidos;Fato atípico - Condutas meramente informativas
Comunicação de fato;Fato atípico - Condutas meramente informativas
Suicídio;Fato atípico - Condutas meramente informativas
Tentativa de suicídio;Fato atípico - Condutas meramente informativas
Suicídio de menor - Tentativa;Fato atípico - Condutas meramente informativas
Atrito verbal discussão;Fato atípico - Condutas meramente informativas
Desmaio/Tontura/Mal súbito;Fato atípico - Condutas meramente informativas
Outras emergências;Fato atípico - Condutas meramente informativas
Fato atípico;Fato atípico - Condutas meramente informativas
Cumprimento de mandado de busca e apreensão;Fato atípico - Condutas meramente informativas
Cumprimento de mandando de busca e apreensão;Fato atípico - Condutas meramente informativas
Cumprimento de Mandado de Busca e Apreensão de Adolescente;Fato atípico - Condutas meramente informativas
Cumprimento de mandado de prisão;Fato atípico - Condutas meramente informativas
Outras condutas meramente informativas;Fato atípico - Condutas meramente informativas
Atrito verbal ou discussão;Fato atípico - Condutas meramente informativas
Averiguação de pessoa em atitude suspeita;Fato atípico - Condutas meramente informativas
Abandono de lar;Fato atípico - Condutas meramente informativas
Afogamento;Fato atípico - Condutas meramente informativas
Comunicação de desaparecimento de pessoa;Fato atípico - Condutas meramente informativas
Comunicação de desaparecimento de pessoa;Fato atípico - Condutas meramente informativas
Comunicação de desaparecimento de pessoa;Fato atípico - Condutas meramente informativas
Comunicação de desaparecimento de pessoa;Fato atípico - Condutas meramente informativas
Comunicação de reaparecimento, encontro ou de retorno de pessoa;Fato atípico - Condutas meramente informativas
Comunicação de reaparecimento, encontro ou de retorno de pessoa;Fato atípico - Condutas meramente informativas
Comunicação de reaparecimento, encontro ou de retorno de pessoa;Fato atípico - Condutas meramente informativas
Fuga do lar;Fato atípico - Condutas meramente informativas
Fuga de pessoa;Fato atípico - Condutas meramente informativas
Morte acidental;Fato atípico - Condutas meramente informativas
Morte aparentemente natural;Fato atípico - Condutas meramente informativas
Comunicação de perda ou de recuperação de documentos/objetos;Fato atípico - Condutas meramente informativas
Comunicação de perda ou de recuperação de documentos/objetos;Fato atípico - Condutas meramente informativas
Comunicação de perda ou de recuperação de documentos/objetos;Fato atípico - Condutas meramente informativas
Comunicação de perda ou de recuperação de documentos/objetos;Fato atípico - Condutas meramente informativas
Comunicação de perda ou de recuperação de documentos/objetos;Fato atípico - Condutas meramente informativas
Comunicação de perda ou de recuperação de documentos/objetos;Fato atípico - Condutas meramente informativas
Comunicação de fato;Fato atípico - Condutas meramente informativas
Suicídio;Fato atípico - Condutas meramente informativas
Tentativa de suicídio;Fato atípico - Condutas meramente informativas
Tentativa de suicídio;Fato atípico - Condutas meramente informativas
Atrito verbal discussão;Fato atípico - Condutas meramente informativas
Desmaio, tontura, mal súbita ou outras emergências;Fato atípico - Condutas meramente informativas
Desmaio, tontura, mal súbita ou outras emergências;Fato atípico - Condutas meramente informativas
Fato atípico;Fato atípico - Condutas meramente informativas
Cumprimento de mandado de busca e apreensão ou de prisão;Fato atípico - Condutas meramente informativas
Cumprimento de mandado de busca e apreensão ou de prisão;Fato atípico - Condutas meramente informativas
Cumprimento de mandado de busca e apreensão ou de prisão;Fato atípico - Condutas meramente informativas
Cumprimento de mandado de busca e apreensão ou de prisão;Fato atípico - Condutas meramente informativas
Outras condutas meramente informativas;Fato atípico - Condutas meramente informativas
Atrito verbal ou discussão;Fato atípico - Condutas meramente informativas
Averiguação de pessoa em atitude suspeita;Fato atípico - Condutas meramente informativas
Policial Militar ferido em ação policial;Atos infracionais contra a Integridade Física e Psicológica
Vias de fato;Atos infracionais contra a Integridade Física e Psicológica
Vias de fato agressão;Atos infracionais contra a Integridade Física e Psicológica
Negligência médica;Atos infracionais contra a Integridade Física e Psicológica
Ilícito civil;Atos infracionais contra a Integridade Física e Psicológica
Tortura;Atos infracionais contra a Integridade Física e Psicológica
Condicionamento de atendimento médico-hospitalar emergencial;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal culposa;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa (Violência doméstica);Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal seguida de morte - Nº de vítimas;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal culposa menor;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa adolescente (Violência doméstica);Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa mulher (Violência doméstica);Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa menor;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa criança (Violência doméstica);Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa mulher;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa homem (Violência doméstica);Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal dolosa homem;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal culposa homem;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal leve;Atos infracionais contra a Integridade Física e Psicológica
Lesão Corporal Grave;Atos infracionais contra a Integridade Física e Psicológica
Maus-tratos;Atos infracionais contra a Integridade Física e Psicológica
Maus-tratos contra criança;Atos infracionais contra a Integridade Física e Psicológica
Maus-tratos contra adolescente;Atos infracionais contra a Integridade Física e Psicológica
Maus tratos;Atos infracionais contra a Integridade Física e Psicológica
Omissão de socorro;Atos infracionais contra a Integridade Física e Psicológica
Perigo de contágio de moléstia grave;Atos infracionais contra a Integridade Física e Psicológica
Perigo de contágio venéreo;Atos infracionais contra a Integridade Física e Psicológica
Perigo para a vida ou saúde de outrem;Atos infracionais contra a Integridade Física e Psicológica
Rixa;Atos infracionais contra a Integridade Física e Psicológica
Rixa/Briga entre três ou mais pessoas;Atos infracionais contra a Integridade Física e Psicológica
Policial Militar ferido em ação policial;Atos infracionais contra a Integridade Física e Psicológica
Vias de fato;Atos infracionais contra a Integridade Física e Psicológica
Vias de fato;Atos infracionais contra a Integridade Física e Psicológica
Negligência ou imperícia médica;Atos infracionais contra a Integridade Física e Psicológica
Ilícito civil;Atos infracionais contra a Integridade Física e Psicológica
Omissão de socorro;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Lesão corporal;Atos infracionais contra a Integridade Física e Psicológica
Maus tratos;Atos infracionais contra a Integridade Física e Psicológica
Maus tratos;Atos infracionais contra a Integridade Física e Psicológica
Maus tratos;Atos infracionais contra a Integridade Física e Psicológica
Maus tratos;Atos infracionais contra a Integridade Física e Psicológica
Omissão de socorro;Atos infracionais contra a Integridade Física e Psicológica
Perigo para a vida ou saúde;Atos infracionais contra a Integridade Física e Psicológica
Perigo para a vida ou saúde;Atos infracionais contra a Integridade Física e Psicológica
Perigo para a vida ou saúde;Atos infracionais contra a Integridade Física e Psicológica
Rixa;Atos infracionais contra a Integridade Física e Psicológica
Rixa;Atos infracionais contra a Integridade Física e Psicológica
L9495/1997;Atos infracionais contra a Integridade Física e Psicológica
Art 135 e 135-A do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 129 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 136 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 136 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 136 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 136 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 135 e 135-A do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 130 a 131 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 130 a 131 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 130 a 131 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 137 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 137 do CP;Atos infracionais contra a Integridade Física e Psicológica
Art 210, 211 e 212 do CP;Outros atos infracionais
Art 210, 211 e 212 do CP;Outros atos infracionais
Art 210, 211 e 212 do CP;Outros atos infracionais
Art 209 do CP;Outros atos infracionais
Art 208 do CP;Outros atos infracionais
L9605/1998;Outros atos infracionais
L9605/1998;Outros atos infracionais
L10741/2003;Outros atos infracionais
L8078/1991;Outros atos infracionais
L1521/1951;Outros atos infracionais
L8078/1991;Outros atos infracionais
Ocultação de cadáver;Outros atos infracionais
Vilipêndio de cadáver;Outros atos infracionais
Violação de sepultura;Outros atos infracionais
Impedimento ou perturbação de cerimônia funerária;Outros atos infracionais
Ultraje a culto e impedimento ou perturbação de ato a ele relativo;Outros atos infracionais
Caça não autorizada;Outros atos infracionais
Crimes ambientais (Lei nº. 9.605/98);Outros atos infracionais
Crime Ambiental contra a Fauna;Outros atos infracionais
Crimes da lei de agrotóxicos;Outros atos infracionais
Maus-tratos contra animais;Outros atos infracionais
Pesca predatória;Outros atos infracionais
Crueldade contra animais;Outros atos infracionais
Crimes eleitorais;Outros atos infracionais
Estatuto do Idoso (Lei nº. 10.741/03);Outros atos infracionais
Crimes da lei de imprensa;Outros atos infracionais
Agiotagem;Outros atos infracionais
Crimes contra a economia popular (Lei nº. 1.521/51);Outros atos infracionais
Crimes contra o consumidor;Outros atos infracionais
Ocultação, destruição, subtração, violação de cadáver ou sepultura;Outros atos infracionais
Ocultação, destruição, subtração, violação de cadáver ou sepultura;Outros atos infracionais
Ocultação, destruição, subtração, violação de cadáver ou sepultura;Outros atos infracionais
Impedimento ou perturbação de cerimônia funerária;Outros atos infracionais
Ultraje a culto e impedimento ou perturbação de ato a ele relativo;Outros atos infracionais
Caça não autorizada;Outros atos infracionais
Crimes ambientais (Lei nº. 9.605/98);Outros atos infracionais
Crimes ambientais (Lei nº. 9.605/98);Outros atos infracionais
Crimes da lei de agrotóxicos;Outros atos infracionais
Crueldade ou maus-tratos contra animais;Outros atos infracionais
Pesca predatória;Outros atos infracionais
Crueldade ou maus-tratos contra animais;Outros atos infracionais
Crimes eleitorais;Outros atos infracionais
Estatuto do Idoso (Lei nº. 10.741/03);Outros atos infracionais
Crimes da lei de imprensa;Outros atos infracionais
Crimes contra o consumidor e a economia popular;Outros atos infracionais
Crimes contra o consumidor e a economia popular;Outros atos infracionais
Crimes contra o consumidor e a economia popular;Outros atos infracionais
Vender e/ou oferecer bebida alcoólica a menor;Atos infracionais relacionados a Entorpecentes
Vender, fornecer ou entregar a menor bebida alcoólica ou produtos que possam causar dependência física ou psíquica;Atos infracionais relacionados a Entorpecentes
Oferecer drogas/eventualmente/sem objetivo de lucro a pessoa de seu relacionamento para juntos consumirem;Atos infracionais relacionados a Entorpecentes
Vender/Fornecer a criança/adolescente produtos que possam causar dependência física ou psíquica;Atos infracionais relacionados a Entorpecentes
Associação para o tráfico;Atos infracionais relacionados a Entorpecentes
Posse de drogas para uso pessoal;Atos infracionais relacionados a Entorpecentes
Drogas/Posse de maconha para uso;Atos infracionais relacionados a Entorpecentes
Drogas/Posse de cocaína para uso;Atos infracionais relacionados a Entorpecentes
Drogas/Encontro ou apresentação de;Atos infracionais relacionados a Entorpecentes
Posse de drogas;Atos infracionais relacionados a Entorpecentes
Tráfico de drogas;Atos infracionais relacionados a Entorpecentes
Drogas/Tráfico de crack;Atos infracionais relacionados a Entorpecentes
Drogas/Tráfico de LSD;Atos infracionais relacionados a Entorpecentes
Drogas/Tráfico de maconha;Atos infracionais relacionados a Entorpecentes
Drogas/Tráfico de cocaína;Atos infracionais relacionados a Entorpecentes
Drogas/Tráfico de ecstasy;Atos infracionais relacionados a Entorpecentes
Vender, oferecer ou servir bebida alcoólica ou produtos que causam depenência a menor;Atos infracionais relacionados a Entorpecentes
Vender, oferecer ou servir bebida alcoólica ou produtos que causam depenência a menor;Atos infracionais relacionados a Entorpecentes
Vender, oferecer ou servir bebida alcoólica ou produtos que causam depenência a menor;Atos infracionais relacionados a Entorpecentes
Vender, oferecer ou servir bebida alcoólica ou produtos que causam depenência a menor;Atos infracionais relacionados a Entorpecentes
Associação para o tráfico;Atos infracionais relacionados a Entorpecentes
Posse de drogas para consumo;Atos infracionais relacionados a Entorpecentes
Posse de drogas para consumo;Atos infracionais relacionados a Entorpecentes
Posse de drogas para consumo;Atos infracionais relacionados a Entorpecentes
Posse de drogas para consumo;Atos infracionais relacionados a Entorpecentes
Posse de drogas para consumo;Atos infracionais relacionados a Entorpecentes
Tráfico de drogas;Atos infracionais relacionados a Entorpecentes
Tráfico de drogas;Atos infracionais relacionados a Entorpecentes
Tráfico de drogas;Atos infracionais relacionados a Entorpecentes
Tráfico de drogas;Atos infracionais relacionados a Entorpecentes
Tráfico de drogas;Atos infracionais relacionados a Entorpecentes
Tráfico de drogas;Atos infracionais relacionados a Entorpecentes
Art 35 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 28 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 28 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 28 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 28 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 28 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 33 e 34 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 33 e 34 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 33 e 34 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 33 e 34 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 33 e 34 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 33 e 34 da L11343/2006;Atos infracionais relacionados a Entorpecentes
Art 148 do CP;Atos infracionais contra a Liberdade Individual
Art 146 do CP;Atos infracionais contra a Liberdade Individual
Art 153 e 154 do CP;Atos infracionais contra a Liberdade Individual
Art 153 e 154 do CP;Atos infracionais contra a Liberdade Individual
Art 148 do CP;Atos infracionais contra a Liberdade Individual
Art 151 e 152 do CP;Atos infracionais contra a Liberdade Individual
Art 151 e 152 do CP;Atos infracionais contra a Liberdade Individual
Art 151 e 152 do CP;Atos infracionais contra a Liberdade Individual
Art 153 e 154 do CP;Atos infracionais contra a Liberdade Individual
Art 147 do CP;Atos infracionais contra a Liberdade Individual
Art 147 do CP;Atos infracionais contra a Liberdade Individual
Art 147 do CP;Atos infracionais contra a Liberdade Individual
Art 147 do CP;Atos infracionais contra a Liberdade Individual
Art 147 do CP;Atos infracionais contra a Liberdade Individual
Art 147 do CP;Atos infracionais contra a Liberdade Individual
Art 147 do CP;Atos infracionais contra a Liberdade Individual
Cárcere privado;Atos infracionais contra a Liberdade Individual
Constrangimento ilegal;Atos infracionais contra a Liberdade Individual
Divulgação de informação sigilosa da Administração Pública;Atos infracionais contra a Liberdade Individual
Divulgação de segredo particular;Atos infracionais contra a Liberdade Individual
Sequestro ou cárcere privado;Atos infracionais contra a Liberdade Individual
Sonegação ou destruição de correspondência;Atos infracionais contra a Liberdade Individual
Violação de comunicação telefônica;Atos infracionais contra a Liberdade Individual
Violação de correspondência;Atos infracionais contra a Liberdade Individual
Violação do segredo profissional;Atos infracionais contra a Liberdade Individual
Ameaça;Atos infracionais contra a Liberdade Individual
Ameaça (Violência doméstica);Atos infracionais contra a Liberdade Individual
Ameaça contra homem;Atos infracionais contra a Liberdade Individual
Ameaça contra criança/adolescente;Atos infracionais contra a Liberdade Individual
Ameaça contra mulher (Violência doméstica);Atos infracionais contra a Liberdade Individual
Ameaça contra adolescente (Violência doméstica);Atos infracionais contra a Liberdade Individual
Ameaça contra mulher;Atos infracionais contra a Liberdade Individual
Sequestro ou cárcere privado;Atos infracionais contra a Liberdade Individual
Constrangimento ilegal;Atos infracionais contra a Liberdade Individual
Divulgação  ou Violação de informação ou segredo particular ou profissional;Atos infracionais contra a Liberdade Individual
Divulgação  ou Violação de informação ou segredo particular ou profissional;Atos infracionais contra a Liberdade Individual
Sequestro ou cárcere privado;Atos infracionais contra a Liberdade Individual
Violação, sonegação ou destruição de correspondência ou de comunicação;Atos infracionais contra a Liberdade Individual
Violação, sonegação ou destruição de correspondência ou de comunicação;Atos infracionais contra a Liberdade Individual
Violação, sonegação ou destruição de correspondência ou de comunicação;Atos infracionais contra a Liberdade Individual
Divulgação  ou violação de informação ou segredo particular ou profissional;Atos infracionais contra a Liberdade Individual
Ameaça;Atos infracionais contra a Liberdade Individual
Ameaça;Atos infracionais contra a Liberdade Individual
Ameaça;Atos infracionais contra a Liberdade Individual
